episode,start,hour,n_treated,n_control,sp_treated,sp_control,dln_sp,hz_treated,hz_control,dln_f,episode_ratio,cum_dln_sp,cum_dln_f,running_beta
1,2026-05-25 07:30:00+07:00,8,3,11,0.46488900000000005,0.5999999999999999,-0.255130987801899,34.42043333333333,37.08745454545454,-0.0746283797294988,0.29251005678481257,-0.255130987801899,-0.0746283797294988,0.29251005678481257
2,2026-05-29 08:00:00+07:00,8,3,11,0.4226666666666667,0.5990909090909089,-0.3488295083691204,32.423300000000005,33.42629727272727,-0.030465633538688214,0.08733674419094854,-0.6039604961710194,-0.10509401326818701,0.17400809148025512
3,2026-06-02 07:00:00+07:00,7,3,11,0.449778,0.5999999999999999,-0.2881755275140399,34.00376666666667,36.74679090909091,-0.07757959685067427,0.2692095249028202,-0.8921360236850593,-0.1826736101188613,0.2047598183114602
4,2026-06-11 10:30:00+07:00,11,23,11,0.7718394782608695,0.5999999999999999,0.25184694347435044,36.395869565217396,32.77026363636364,0.10493378699039875,0.41665698039764304,-0.6402890802107088,-0.07773982312846255,0.1214136325780843
5,2026-06-12 07:45:00+07:00,8,4,10,0.4309615,0.5999999999999999,-0.33091089624847714,33.045375,32.921020000000006,0.0037702574866241055,-0.011393573101905545,-0.971199976459186,-0.07396956564183844,0.07616306366842973
6,2026-06-19 07:45:00+07:00,8,4,10,0.44466675,0.5999999999999999,-0.2996045300024076,33.631975,35.84174,-0.06363588468081509,0.21239960784405934,-1.2708045064615936,-0.13760545032265353,0.10828215482631534
7,2026-06-29 07:30:00+07:00,8,3,10,0.41615399999999997,0.5986153999999999,-0.3635639377186066,32.93573333333334,35.53685,-0.0760119983472576,0.20907463711675886,-1.6343684441802002,-0.21361744866991111,0.13070336094078328
8,2026-06-30 07:45:00+07:00,8,3,10,0.4157693333333334,0.5993077,-0.3656445364077344,33.1436,38.234880000000004,-0.14289855185266803,0.39081276382951396,-2.0000129805879348,-0.35651600052257915,0.17825684332197472
9,2026-07-01 07:45:00+07:00,8,4,10,0.44961525,0.5999999999999999,-0.2885374381727565,32.337475,36.94919,-0.13331695122277123,0.46204385838814493,-2.2885504187606913,-0.48983295174535035,0.21403633834320654
10,2026-07-02 07:45:00+07:00,8,3,9,0.432,0.6,-0.3285040669720361,33.9869,38.85437777777778,-0.1338455983242984,0.4074396994777298,-2.6170544857327274,-0.6236785500696488,0.23831316981351658
11,2026-07-03 07:45:00+07:00,8,3,10,0.416,0.5999999999999999,-0.36624439495488287,33.6822,34.407849999999996,-0.021315228114734845,0.05819946573478794,-2.9832988806876104,-0.6449937781843836,0.21620152856951472
12,2026-07-06 07:30:00+07:00,8,4,11,0.44316675,0.598,-0.29964464389506784,32.234325,34.00684545454545,-0.05352996267774459,0.17864481734734486,-3.282943524582678,-0.6985237408621282,0.2127736086934128
13,2026-07-07 07:45:00+07:00,8,3,10,0.42333333333333334,0.5997999999999999,-0.3484363755303813,33.744,38.33333,-0.12751712900219603,0.36596962302828623,-3.6313799001130596,-0.8260408698643242,0.22747299720379194
14,2026-07-08 07:45:00+07:00,8,3,10,0.4537776666666667,0.5988,-0.27732029545514875,34.79579999999999,38.88233999999999,-0.11104347312469409,0.40041596285784015,-3.9087001955682084,-0.9370843429890183,0.23974321285922884
15,2026-07-09 07:45:00+07:00,8,4,9,0.44083324999999995,0.5986666666666666,-0.3060382741656252,32.707674999999995,35.18978888888889,-0.07314619229306997,0.2390099489761333,-4.214738469733834,-1.0102305352820884,0.2396899695050084
16,2026-07-10 07:45:00+07:00,8,3,9,0.46711100000000005,0.6,-0.25036273842424867,35.711999999999996,38.42317777777778,-0.07317409871185028,0.2922723212423653,-4.4651012081580825,-1.0834046339939387,0.24263831512138523
17,2026-07-17 08:00:00+07:00,8,3,11,0.436,0.5994545454545454,-0.31837790748427136,32.61756666666667,36.129220909090904,-0.10225098333299967,0.32116230721207034,-4.783479115642354,-1.1856556173269384,0.24786470028681654
18,2026-07-22 07:45:00+07:00,8,3,10,0.4326666666666667,0.5988,-0.3249600439495477,34.38666666666666,37.9934,-0.09974356808597602,0.30694102226753117,-5.108439159591902,-1.2853991854129143,0.25162268654983866
19,2026-07-23 07:45:00+07:00,8,3,10,0.4206666666666667,0.5999999999999999,-0.35508890078309724,35.460433333333334,36.51820299999999,-0.029393327687985814,0.08277737666021968,-5.463528060374999,-1.3147925131009002,0.24064899064701736
