ahu,episodes_detected,episodes_paired,treated_steps,baseline_sp_inwg,sum_dln_sp,sum_dln_f,beta,ci_low,ci_high,excludes_affinity_half
1,22,15,136,0.55,-2.614809465184165,-0.9977693664879889,0.3815839661639417,0.24133597239508456,0.52930008514758,False
2,30,30,118,0.6,-9.106698231246114,-2.108712579151972,0.23155621561245326,0.17783436594499996,0.2827162488802269,True
