episode,start,hour,n_treated,n_control,ahu_b8_1__static_pressure_setpoint_read__treated,ahu_b8_1__static_pressure_setpoint_read__control,ahu_b8_1__static_pressure_setpoint_read__dln,ahu_b8_1__frequency__treated,ahu_b8_1__frequency__control,ahu_b8_1__frequency__dln,ahu_b8_1__power__treated,ahu_b8_1__power__control,ahu_b8_1__power__dln
1,2026-05-18 12:00:00+07:00,12,3,8,0.423675,0.55,-0.26095162634708113,35.1832,37.2760875,-0.05778333932962208,2.8391466666666663,3.28250125,-0.1451021704625064
2,2026-05-19 11:15:00+07:00,11,25,8,0.4361364,0.5485000000000001,-0.2292322412550454,33.153264,35.9751625,-0.0816875964656283,2.6937244000000002,2.98416625,-0.10239562325204418
6,2026-05-25 07:30:00+07:00,8,13,5,0.4674871538461538,0.5486154000000001,-0.16002577961686454,33.84111538461539,38.48026,-0.1284688877983199,2.6343592307692307,3.846356,-0.37848623034283657
7,2026-05-25 16:45:00+07:00,17,3,5,0.4633333333333333,0.5452,-0.1627059623657498,33.523566666666675,36.15692,-0.07561968081486173,2.6555566666666666,3.1000000000000005,-0.15474781147990088
8,2026-05-26 07:45:00+07:00,8,26,6,0.47625642307692306,0.5443333333333333,-0.13360539117669898,33.76958076923077,38.07055,-0.11988059733661623,2.6215384615384614,3.6977783333333334,-0.3439708443575836
9,2026-05-27 07:45:00+07:00,8,7,10,0.47161900000000007,0.5494,-0.15265531742952945,33.64847142857143,35.95745000000001,-0.06636866550515051,2.613332857142857,3.1359989999999995,-0.18232142013211275
10,2026-05-28 07:45:00+07:00,8,5,10,0.41719999999999996,0.55,-0.2763525550998994,33.71132,33.98393,-0.00805407982515111,2.608002,3.0451855555555554,-0.15497742615502658
11,2026-05-29 07:45:00+07:00,8,6,10,0.43855549999999993,0.55,-0.22643190657838705,33.63668333333333,33.39686,0.007155353712032486,2.5866683333333333,2.9206669999999995,-0.12144132499607757
12,2026-06-08 07:45:00+07:00,8,5,9,0.4648,0.5457777777777778,-0.16060468695305757,33.7724,36.27133333333333,-0.07138381307786855,2.6386659999999997,3.622962222222222,-0.31701849823037226
13,2026-06-08 15:30:00+07:00,16,8,8,0.4955,0.54925,-0.102986357494677,33.1274125,34.5264875,-0.0413656712453764,2.5725,2.71833125,-0.055139992277525224
14,2026-06-09 07:45:00+07:00,8,5,5,0.42293339999999996,0.5452,-0.2539379799806603,34.11934,39.57464,-0.1483241301309359,2.655998,4.203152,-0.4590142414115007
15,2026-06-09 11:15:00+07:00,11,10,4,0.484,0.5465,-0.12144940089996152,35.58299000000001,36.436675,-0.023708107662822733,2.8986659999999995,3.0466675,-0.04979773916091579
20,2026-06-16 12:00:00+07:00,12,3,15,0.48,0.5489333333333334,-0.13419089732570344,35.294000000000004,36.322673333333334,-0.02872917819599435,2.8600033333333332,3.0582213333333335,-0.0670106930162964
21,2026-06-17 07:45:00+07:00,8,14,6,0.4764897857142857,0.5493333333333333,-0.1422591350033631,34.6056,38.59171666666667,-0.10902214063595442,2.7276521428571425,3.7468516666666667,-0.3174747135673732
22,2026-06-17 12:00:00+07:00,12,3,9,0.49733333333333335,0.5482222222222223,-0.09742022765748622,34.800000000000004,36.38462222222223,-0.04452883217571919,2.77111,3.083826666666667,-0.1069232881043082
