loop,n,tolerance,unit,bias,p5,p50,p95,frac_out_of_band,actuator,actuator_unit,actuator_mean,frac_saturated_high,frac_saturated_low,mean_travel,p95_travel,sign_change_rate
AHU-1 SAT loop,1807,1.0,K,-1.0195426065301607,-4.524099999999999,-0.3739999999999988,0.29469999999999885,0.3254012174875484,cooling_valve_position_read,%,41.84815030437189,0.00774764803541782,0.0,4.520498519134776,18.86909,0.07751937984496124
AHU-1 static pressure loop,1807,0.05,inWG,0.0016027795794133568,-0.02979990000000003,0.0,0.031332999999999944,0.07858328721638075,frequency,Hz,35.65430929717764,0.0011068068622025456,0.0,0.7339240155296726,1.9610299999999947,0.49575070821529743
AHU-2 SAT loop,2098,1.0,K,-0.22259580552907557,-4.0257000000000005,-0.3247000000000009,6.127299999999998,0.34413727359389895,cooling_valve_position_read,%,41.35888598665396,0.015252621544327931,0.08913250714966635,4.952154360076409,21.10298499999997,0.1054892601431981
AHU-2 static pressure loop,2098,0.05,inWG,-0.04849071706387034,-0.515340995,0.0,0.03600000000000003,0.16062917063870352,frequency,Hz,35.221288736892284,0.002859866539561487,0.0,0.635586852913085,1.495609999999998,0.40106177606177607
