label,x,y,n_episodes,n_treated_steps,ratio_of_sums,ci_low,ci_high,slope_origin,slope_ci_low,slope_ci_high,r2,median_ratio,mean_dln_x,mean_dln_y,excitation_cv,assumed,excludes_assumed
AHU-1 static pressure -> fan frequency,static_pressure_setpoint_read,frequency,15,136,0.3815839661639417,0.24133597239508456,0.52930008514758,0.34342413015352596,0.19936866359839478,0.5096007117622701,-0.23673490993873236,0.4347615702007131,-0.17432063101227768,-0.06651795776586593,0.3281245468189217,0.5,False
AHU-1 static pressure -> fan power,static_pressure_setpoint_read,power,15,136,1.1304158319383313,0.769933884122661,1.5533524189320347,1.0595814353965027,0.7117991665041672,1.4975429417957615,-0.06503930449542539,0.9510887568584633,-0.17432063101227768,-0.19705480112975873,0.3281245468189217,1.5,False
AHU-2 static pressure -> fan frequency,static_pressure_setpoint_read,frequency,30,118,0.23155621561245326,0.17783436594499996,0.2827162488802269,0.239315682680884,0.1900946306083439,0.28945479890315484,0.3363261392459025,0.2726854117398486,-0.3035566077082038,-0.07029041930506573,0.35666528940814457,0.5,True
AHU-2 static pressure -> fan power,static_pressure_setpoint_read,power,30,118,1.0962713470991876,1.000942663058126,1.195524862085992,1.087748492493713,0.9966440130317713,1.186743171406561,0.6305679281741099,1.094285063022157,-0.3035566077082038,-0.33278041125313224,0.35666528940814457,1.5,True
