ahu,model,exponent,exponent_source,cut_fraction,n,baseline_kwh,counterfactual_kwh,saving_kwh,saving_fraction
1,offset cubic,0.3815839661639417,measured,0.2,1807,1338.57217,1148.532162806181,190.04000719381884,0.14197217860417555
1,offset cubic,0.5,assumed,0.2,1807,1338.57217,1098.768023052371,239.80414694762885,0.17914921012262555
2,offset cubic,0.23155621561245326,measured,0.2,1911,1452.4694949999994,1277.93335492806,174.53614007193937,0.12016509859433533
2,offset cubic,0.5,assumed,0.2,1911,1452.4694949999994,1106.7154166284222,345.7540783715772,0.23804567294652706
