ahu,model,measured_d_ln_hz,measured_d_ln_kw,implied_d_ln_kw,discrepancy
1,offset cubic,-0.06651795776586593,-0.19705480112975873,-0.12090690787876764,-0.0761478932509911
2,offset cubic,-0.07029041930506573,-0.33278041125313224,-0.17183450398908343,-0.1609459072640488
