box,day_mean_c,rank_coldest,margin_to_next_k,k_below_floor_median,excluded_by_technique,technique_quoted_day_mean_c,floor_median_c
vav_8_1_9,16.163969008073817,1,,7.4397557611569525,True,8.4,23.60372476923077
vav_8_1_6,21.191666572365722,2,5.0276975642919055,2.412058196865047,True,19.7,23.60372476923077
vav_8_2_23,21.593509538461536,3,0.4018429660958134,2.0102152307692336,False,,23.60372476923077
vav_8_1_10,22.14406650353955,4,0.5505569650780124,1.4596582656912211,False,,23.60372476923077
vav_8_1_14,22.299465980301633,5,0.155399476762085,1.3042587889291362,False,,23.60372476923077
vav_8_2_21,22.4667265189289,6,0.16726053862726786,1.1369982503018683,False,,23.60372476923077
vav_8_2_9,22.578622430769233,7,0.11189591184033176,1.0251023384615365,False,,23.60372476923077
vav_8_1_8,22.597119646044938,8,0.018497215275704804,1.0066051231858317,False,,23.60372476923077
vav_8_1_15,22.627193382579257,9,0.03007373653431955,0.9765313866515122,False,,23.60372476923077
vav_8_1_3,22.66672144352108,10,0.03952806094182293,0.9370033257096892,False,,23.60372476923077
vav_8_2_8,22.94502870769231,11,0.27830726417122875,0.6586960615384605,False,,23.60372476923077
vav_8_1_11,22.99658698060942,12,0.05155827291710935,0.6071377886213511,False,,23.60372476923077
vav_8_1_5,23.133052908587263,13,0.13646592797784507,0.4706718606435061,False,,23.60372476923077
vav_8_1_7,23.153863013234844,14,0.020810104647580374,0.4498617559959257,False,,23.60372476923077
vav_8_1_25,23.19444296706679,15,0.04057995383194779,0.4092818021639779,False,,23.60372476923077
vav_8_1_13,23.196003148661124,16,0.0015601815943320219,0.4077216205696459,False,,23.60372476923077
vav_8_1_12,23.230489790704834,17,0.03448664204370999,0.3732349785259359,False,,23.60372476923077
vav_8_1_2,23.335176248076326,18,0.10468645737149274,0.26854852115444316,False,,23.60372476923077
vav_8_2_12,23.362445876923076,19,0.027269628846749328,0.24127889230769384,False,,23.60372476923077
vav_8_2_6,23.39414824615385,20,0.03170236923077496,0.20957652307691887,False,,23.60372476923077
vav_8_1_16,23.401105786395814,21,0.006957540241963045,0.20261898283495583,False,,23.60372476923077
vav_8_2_27,23.515365753846154,22,0.11425996745034084,0.08835901538461499,False,,23.60372476923077
vav_8_1_26,23.525739541397353,23,0.010373787551198888,0.0779852278334161,False,,23.60372476923077
vav_8_2_26,23.54751153846154,24,0.0217719970641852,0.056213230769230904,False,,23.60372476923077
vav_8_2_13,23.563309384615383,25,0.01579784615384483,0.040415384615386074,False,,23.60372476923077
vav_8_2_11,23.579795169230767,26,0.016485784615383636,0.023929600000002438,False,,23.60372476923077
vav_8_2_25,23.60372476923077,27,0.023929600000002438,0.0,False,,23.60372476923077
vav_8_2_5,23.674378584615386,28,0.07065381538461679,-0.07065381538461679,False,,23.60372476923077
vav_8_1_17,23.689978507232997,29,0.015599922617610673,-0.08625373800222746,False,,23.60372476923077
vav_8_1_19,23.703258140966447,30,0.013279633733450424,-0.09953337173567789,False,,23.60372476923077
vav_8_2_4,23.718226246153847,31,0.014968105187399772,-0.11450147692307766,False,,23.60372476923077
vav_8_2_1,23.71993636923077,32,0.0017101230769220876,-0.11621159999999975,False,,23.60372476923077
vav_8_1_27,23.756665189289013,33,0.03672882005824363,-0.15294042005824338,False,,23.60372476923077
vav_8_1_4,23.783539879963065,34,0.02687469067405246,-0.17981511073229584,False,,23.60372476923077
vav_8_2_2,23.827529046153845,35,0.04398916619078008,-0.22380427692307592,False,,23.60372476923077
vav_8_2_28,23.85931803076923,36,0.031788984615385374,-0.2555932615384613,False,,23.60372476923077
vav_8_1_18,23.88836244998461,37,0.029044419215377815,-0.2846376807538391,False,,23.60372476923077
vav_8_1_21,23.90423598030163,38,0.01587353031702321,-0.3005112110708623,False,,23.60372476923077
vav_8_2_7,23.93445129230769,39,0.03021531200605665,-0.33072652307691897,False,,23.60372476923077
vav_8_1_20,24.011925924899973,40,0.07747463259228482,-0.4082011556692038,False,,23.60372476923077
vav_8_1_22,24.061456395814098,41,0.049530470914124436,-0.4577316265833282,False,,23.60372476923077
vav_8_2_15,24.093421934093005,42,0.031965538278907246,-0.48969716486223547,False,,23.60372476923077
vav_8_2_17,24.190222676923078,43,0.096800742830073,-0.5864979076923085,False,,23.60372476923077
vav_8_2_10,24.24359867692308,44,0.05337600000000364,-0.6398739076923121,False,,23.60372476923077
vav_8_2_14,24.368124492307697,45,0.12452581538461516,-0.7643997230769273,False,,23.60372476923077
vav_8_2_3,24.372407569230766,46,0.0042830769230697285,-0.768682799999997,False,,23.60372476923077
vav_8_1_1,24.392100040012313,47,0.019692470781546234,-0.7883752707815432,False,,23.60372476923077
vav_8_2_19,24.650781015384617,48,0.25868097537230383,-1.047056246153847,False,,23.60372476923077
vav_8_2_18,24.68278430045132,49,0.032003285066704024,-1.079059531220551,False,,23.60372476923077
vav_8_2_22,24.739347015384613,50,0.05656271493329257,-1.1356222461538437,False,,23.60372476923077
vav_8_2_16,24.861338215384613,51,0.12199120000000008,-1.2576134461538437,False,,23.60372476923077
vav_8_2_20,25.04097055384615,52,0.1796323384615377,-1.4372457846153814,False,,23.60372476923077
vav_8_1_28,26.91302010772546,53,1.8720495538793074,-3.309295338494689,False,,23.60372476923077
