box,ahu,n,k_fixed,a,g,delta,c,r2_two_node,g_unconstrained,a_unconstrained,a_one_node,g_one_node,r2_one_node,flow_cv,parked
vav_8_1_1,1,1527,0.2597056021830806,0.0,0.0,-0.23718107073473316,-0.2841927193963608,0.00869421590483177,-0.02870768077378813,-7.1081785800298645e-06,0.0,0.0,0.00879355885525368,0.019949877287312207,True
vav_8_1_10,1,1527,0.1862316847174303,0.00025470675921384245,0.0,0.003337362712519346,-0.27257028565608,0.3683289358909734,-0.010143607906581188,0.00027452050828319846,8.857467362078931e-05,0.0023081203086673385,0.16504578809514614,0.009999435761922255,True
vav_8_1_11,1,1527,0.2626204663182554,0.0006510942033441067,0.0,0.0670743294551527,-0.14006550048711514,0.49276052828562833,-0.008772817586644829,0.0006674698522766904,0.00011318620301991667,0.0002499674986151681,0.05196476773605807,0.01953390701271659,True
vav_8_1_12,1,1527,0.2662454556297268,0.00041569318402850047,0.0,-0.017698918005307915,-0.3460095433017487,0.21203020495741964,-0.007089354756743953,0.00043863488224585626,0.00010536496586750557,6.268189345956784e-05,0.05780574023506069,0.29669429428357225,False
vav_8_1_13,1,1527,0.2666511846674059,0.00039666419750143374,0.0,0.04076056422382103,-0.17914603774352483,0.44092877592859403,-0.007207694092394764,0.00040792821994052033,0.00010763038302084017,0.0,0.13029848640993325,0.11484024109204027,False
vav_8_1_14,1,1527,0.17755261713167567,0.00034973079991794045,0.0,-0.0038278625517221563,-0.1965121177150836,0.47934010854584586,-0.010423581423783728,0.0003805302374769059,8.708817243729432e-05,0.0017489675513094418,0.1334089548410312,0.02181280025688776,True
vav_8_1_15,1,1527,0.1912716618960991,0.0002149846820844566,0.0,-0.020351324279024145,-0.2726609843103111,0.33001105608937376,-0.012379632585918786,0.00024252541854960846,7.216136855182926e-05,0.0014222596015779905,0.16659729439225168,0.042778808625413896,False
vav_8_1_16,1,1527,0.21805634315299002,0.00010078615222273077,0.0,0.11431249062365322,-0.32437923651445233,0.26579322702833896,-0.009074212323010217,0.00010836735244654631,2.777383437030819e-05,0.004320528981400127,0.11079817332588193,0.02448152776931725,False
vav_8_1_17,1,1527,0.19548287092353644,0.00014784466119393297,0.0,0.024618534066053282,-0.13439338537425566,0.3360804809029534,-0.0044149626337576554,0.0001543724490224857,5.4908780840562704e-05,0.0006718221859451193,0.12412832365736359,0.15916453224057678,False
vav_8_1_18,1,1527,0.24679137941790408,0.00041994942750660263,0.006912722998986204,0.022092553666346784,-0.6885625434504902,0.19987176822155794,0.006912722998986233,0.000419949427506603,0.0001101882014452909,0.00018563352756930607,0.03720041274368113,0.23496239848944164,False
