scope,n_steps,nights,within_night_slope,corr,within_night_sd_outdoor_k,implied_g_over_k_plus_g,k_median_from_stage1,implied_g,implied_outdoor_tau_h,implied_outdoor_tau_days
1,3133,88,0.005991070410932864,0.05910480261579089,1.4542485812347261,0.005991070410932864,0.2326616154167042,0.0014022933581281875,178.2793867994252,7.428307783309383
2,3060,86,0.005480313613274335,0.09454596764900736,1.4528041267740261,0.005480313613274335,0.22200470320754484,0.0012233597925241388,204.35525307250697,8.514802211354457
floor,3060,86,0.005701081292369835,0.08036384831430066,1.4528041267740261,0.005701081292369835,0.22573970856405498,0.0012943395645167932,193.14869672034692,8.047862363347788
