tau_true_h,sampled_as,pole_true,pole_recovered,pole_abs_error,k_zoh,k_euler_naive,tau_from_euler_inversion_h,tau_from_exact_inversion_h,euler_tau_error_pct
0.5,instantaneous_samples,0.6065306597126334,0.6065306597128894,2.560174294785611e-13,0.39346934028711056,0.5,0.6353735206346129,0.5000000000004221,27.07470412692259
0.5,block_averages,0.6065306597126334,0.6065306597129074,2.7400304247748863e-13,0.3934693402870926,0.5,0.635373520634642,0.5000000000004517,27.074704126928406
1.0,instantaneous_samples,0.7788007830714049,0.7788007830709769,4.2799097599299785e-13,0.2211992169290231,0.25,1.1302029160447629,0.9999999999978018,13.020291604476286
1.0,block_averages,0.7788007830714049,0.7788007830709778,4.271027975732977e-13,0.22119921692902222,0.25,1.1302029160447675,0.9999999999978064,13.020291604476753
2.5,instantaneous_samples,0.9048374180359595,0.9048374180358972,6.228351168147128e-14,0.09516258196410277,0.1,2.6270829861920415,2.499999999998278,5.08331944768166
2.5,block_averages,0.9048374180359595,0.9048374180358942,6.52811138479592e-14,0.09516258196410576,0.1,2.627082986191959,2.4999999999981948,5.083319447678356
5.0,instantaneous_samples,0.951229424500714,0.9512294245016191,9.050538096744276e-13,0.04877057549838093,0.05,5.126041623361599,5.000000000095146,2.5208324672319726
5.0,block_averages,0.951229424500714,0.951229424501618,9.039435866498025e-13,0.04877057549838204,0.05,5.126041623361482,5.00000000009503,2.5208324672296456
