ahu,mixing_model,window,n,q_req_mean_kw,q_measured_mean_kw,ratio_median,median_abs_pct_error
1,constant phi (train median),train,1990,12.381085258044044,13.4024342794097,1.0000271086106807,11.649969530010857
1,constant phi (train median),test (held out),596,12.473495047702153,13.85936270732936,0.9649686387538167,13.191809427340683
1,affine map on damper,train,1990,13.858940277909003,13.4024342794097,1.0809868399771896,19.870242229043583
1,affine map on damper,test (held out),596,13.934487060854046,13.85936270732936,1.0359997485572623,15.123025373586046
1,"phi = 0, all return air",train,1990,11.319264827446535,13.4024342794097,0.8995371401523227,12.011094731001087
1,"phi = 0, all return air",test (held out),596,11.63443530685791,13.85936270732936,0.8899967020533002,11.522865023823531
2,constant phi (train median),train,1989,13.659351793404339,14.010866832146615,1.065382604308656,15.407902441415967
2,constant phi (train median),test (held out),583,13.286311590126614,13.38296145784119,1.109993873583614,15.743271422625682
2,affine map on damper,train,1989,14.85173558213288,14.010866832146615,1.1651445554931332,22.841016012967195
2,affine map on damper,test (held out),583,14.169488009401448,13.38296145784119,1.1616426559001114,22.080162761026735
2,"phi = 0, all return air",train,1989,13.659351793404339,14.010866832146615,1.065382604308656,15.407902441415967
2,"phi = 0, all return air",test (held out),583,13.286311590126614,13.38296145784119,1.109993873583614,15.743271422625682
