ahu,k_derived,n_delta_t,delta_t_max_abs_resid_degf,n_coil_on,cooling_rate_over_k_flow_dt_median
1,0.03875925925925926,8650,1.1334539999999977,2679,1.073459694447246
2,0.03875925925925926,8650,0.8636999999999944,2676,1.0733203411368089
