ahu,regressor,n,b0,b1,r2,sigma_k,mean_err_k,p5_err_k,p95_err_k,simulable,admissible
1,valve (the spec's own),2094,3.160786368962006,-0.10326495487884253,0.3409129614366736,1.453208559622727,-1.240655425023878,-4.737155,0.2722449999999989,False,True
1,V_total (raw units),2094,-6.699063582203882,0.0008765927637617897,0.0860879274859232,1.7112315112413172,-1.240655425023878,-4.737155,0.2722449999999989,True,True
1,fan Hz,2094,-3.155705580675526,0.05408454546785959,0.005481615368662984,1.7851017251671408,-1.240655425023878,-4.737155,0.2722449999999989,True,True
1,T_ra (zone mean),2094,-34.08300800140112,1.4742226582741655,0.39902687854244645,1.3876632474449586,-1.240655425023878,-4.737155,0.2722449999999989,True,True
1,T_oa,2012,-4.295091373080151,0.09397775017261775,0.017291373224395223,1.7970755498983537,-1.2778412823061631,-4.787569999999999,0.2767000000000017,True,True
1,T_oa - T_sa,2012,3.286754860928952,-0.30351876768649355,0.24655348982678105,1.5735486111572328,-1.2778412823061631,-4.787569999999999,0.2767000000000017,True,False
1,T_ra - T_sa,2094,4.415550608640999,-1.0925717851744736,0.791656208691115,0.8170466303393321,-1.240655425023878,-4.737155,0.2722449999999989,True,False
1,none (constant bias),2094,-1.2406554250238777,0.0,0.0,1.7895868821889076,-1.240655425023878,-4.737155,0.2722449999999989,True,True
2,valve (the spec's own),2213,4.0461776389777375,-0.105180536620613,0.5646688449664545,1.5692030733975515,-0.3201322819701764,-4.159980000000001,6.0809,False,True
2,V_total (raw units),2213,3.278066467156746,-0.000712359404132036,0.29590751672227966,1.995648865122469,-0.3201322819701764,-4.159980000000001,6.0809,True,True
2,fan Hz,2213,6.603159943868666,-0.19658314735012714,0.07644397868999431,2.2856035270608457,-0.3201322819701764,-4.159980000000001,6.0809,True,True
2,T_ra (zone mean),2181,-47.94699430930746,2.0638047150858934,0.6543157077414186,1.3303957750841482,-0.4139937368179738,-4.196,5.566700000000001,True,True
2,T_oa,2131,0.900528322815621,-0.0380149117982769,0.0016226161262306027,2.415917999403953,-0.32131667761614296,-4.315,6.103649999999998,True,True
2,T_oa - T_sa,2131,6.663135895844107,-0.44632409414627106,0.4739420715117164,1.7536850815216232,-0.32131667761614296,-4.315,6.103649999999998,True,False
2,T_ra - T_sa,2181,7.648562453603503,-1.2129077427599355,0.8461256992580893,0.8876138706559885,-0.4139937368179738,-4.196,5.566700000000001,True,False
2,none (constant bias),2213,-0.32013228197017596,0.0,1.1102230246251565e-16,2.377776800825971,-0.3201322819701764,-4.159980000000001,6.0809,True,True
