ahu,unit,n,v_total_m3_s_median,implied_dt_coil_k_median,phi_median,share_phi_in_unit_interval,winner,margin
1,CFM,2586,2.95003279576777,3.0318657577777466,-0.1780853324703549,0.02977571539056458,m3/h,24.974025974025974
1,m3/h,2586,1.73632375,5.151172653031818,0.05575908447916389,0.7436194895591647,m3/h,24.974025974025974
1,L/s,2586,6.2507655,1.4308812925088383,-0.35589769447542174,0.0019334880123743233,m3/h,24.974025974025974
2,CFM,2572,2.573891863405978,3.699512336677503,-0.3213482876502045,0.02021772939346812,m3/h,16.48076923076923
2,m3/h,2572,1.5149355555555557,6.285511398174501,-0.048020869682033826,0.333203732503888,m3/h,16.48076923076923
2,L/s,2572,5.453768,1.7459753883818059,-0.5519812347021407,0.0,m3/h,16.48076923076923
