ahu,fan_air_fraction,n,kw_logged_median,kw_block_b_median,dt_fan_k_median,phi_median,share_phi_in_unit_interval
1,0.0,2586,2.903335,2.969651059619882,0.0,0.05575908447916389,0.7436194895591647
1,0.5,2586,2.903335,2.969651059619882,0.6953352321519721,-0.015724963556178105,0.42691415313225056
1,1.0,2586,2.903335,2.969651059619882,1.3906704643039443,-0.08560433250684123,0.27300850734725446
2,0.0,2572,2.94,3.014907657898437,0.0,-0.048020869682033826,0.333203732503888
2,0.5,2572,2.94,3.014907657898437,0.8029914399559037,-0.13164301004465317,0.23405909797822705
2,1.0,2572,2.94,3.014907657898437,1.6059828799118074,-0.2140922974810872,0.17457231726283048
