ahu,proxy,n,logged_point,t_ra_mean_c,t_ra_sd_k,phi_median,phi_p25,phi_p75,share_phi_in_unit_interval
1,flow-weighted room temp,2586,False,22.30480932626112,0.7828897478732103,0.05575908447916389,0.0028978416058963517,0.18027525173754472,0.7436194895591647
1,unweighted room temp,2587,False,22.156796734165987,0.8081828364034653,0.07596329103365908,0.011755880755507701,0.199234035623326,0.7819868573637417
1,IAQ sensor mean,2451,False,23.528333760858118,0.49288870669148904,-0.08233161906643668,-0.1279131364594664,0.027053422028840417,0.2729498164014688
2,flow-weighted room temp,2572,False,22.908029243048244,0.6436806033725476,-0.048020869682033826,-0.10606770772835565,0.09336424669638217,0.333203732503888
2,unweighted room temp,2574,False,22.836579719765943,0.5816848757033767,-0.042337023459924836,-0.09134128969378316,0.10176124903867886,0.33916083916083917
2,IAQ sensor mean,2452,False,23.528340391586845,0.4911287614446296,-0.12253004389520512,-0.18909723977267776,0.023107770547620643,0.23898858075040783
