ahu,at,hour,direction,d_sat_sp_k,d_t_sa_k,ratio,n_control,n_treated,startup
1,2026-05-18 14:30:00,14,down,-0.4064249999999987,0.028024999999999523,-0.0689549117303306,8,8,False
1,2026-05-19 09:00:00,9,up,1.0799999999999983,-0.16737321428571406,-0.15497519841269844,7,8,False
1,2026-05-19 13:00:00,13,down,-0.259999999999998,0.9229999999999983,-3.5500000000000207,8,8,False
1,2026-05-21 10:15:00,10,down,-0.5928374999999946,-0.7331500000000002,1.2366795285386079,8,8,False
1,2026-05-21 11:15:00,11,down,-0.4478375000000021,0.5525125000000024,-1.2337343344405054,8,8,False
1,2026-05-22 10:15:00,10,down,-0.4228375,0.5941500000000026,-1.4051497324622406,8,8,False
1,2026-05-22 15:15:00,15,up,0.2641625000000012,0.21847499999999975,0.82704774523257,8,8,False
1,2026-05-25 09:00:00,9,up,0.9115875000000031,2.4478937500000004,2.685308596267492,8,8,False
1,2026-05-26 09:00:00,9,up,0.9161857142857137,0.893046428571429,0.9747438916002693,7,8,False
1,2026-05-27 09:00:00,9,up,0.9299999999999997,0.8472839285714269,0.9110579877112119,7,8,False
1,2026-05-29 13:15:00,13,down,-1.0300000000000011,0.5515875000000001,-0.5355218446601937,8,8,False
1,2026-05-29 13:30:00,13,down,-1.002412500000002,0.5531625000000027,-0.5518312072126011,8,8,False
1,2026-06-01 09:00:00,9,up,1.0700000000000003,0.846837500000003,0.791436915887853,4,8,False
1,2026-06-02 09:00:00,9,up,0.6406750000000017,1.7481000000000009,2.72852850509228,8,8,False
1,2026-06-08 09:00:00,9,up,0.9514125,1.4923375000000014,1.5685493936646844,8,8,False
1,2026-06-09 09:00:00,9,up,0.770857142857146,4.798405357142856,6.224766030392857,7,8,False
1,2026-06-12 13:00:00,13,down,-0.5141625000000047,-0.27732500000000115,0.5393722801643422,8,8,False
1,2026-06-12 14:00:00,14,up,0.2241624999999985,-0.15491250000000178,-0.6910723247644135,8,8,False
1,2026-06-12 14:15:00,14,up,0.37666249999999835,-0.0330875000000006,-0.08784389207845418,8,8,False
1,2026-06-12 14:30:00,14,up,0.47416250000000204,0.09982499999999916,0.21052909076529405,8,8,False
1,2026-06-12 15:15:00,15,up,0.5241624999999956,0.45149999999999935,0.8613740967734301,8,8,False
1,2026-06-17 09:00:00,9,up,1.0899999999999999,1.1360321428571432,1.0422313237221499,7,8,False
1,2026-06-19 10:00:00,10,down,-0.6265000000000001,-0.06484999999999985,0.10351157222665577,8,8,False
1,2026-06-19 11:00:00,11,down,-0.7842500000000001,-0.36716249999999917,0.4681702263308883,8,8,False
1,2026-06-19 12:00:00,12,down,-0.5077499999999979,-0.4029874999999983,0.7936730674544558,8,8,False
1,2026-06-22 09:00:00,9,up,0.9200000000000017,1.5518375000000013,1.6867798913043461,8,8,False
1,2026-06-23 09:00:00,9,up,0.4125000000000014,0.7173196428571416,1.738956709956701,7,8,False
1,2026-06-23 10:00:00,10,down,-0.3999999999999986,0.25956250000000125,-0.6489062500000055,8,8,False
1,2026-06-23 11:00:00,11,down,-0.6550000000000011,-0.3370999999999995,0.5146564885496167,8,8,False
1,2026-06-23 16:00:00,16,up,0.6861166666666669,0.27944166666666703,0.4072801029951178,8,6,False
1,2026-06-24 09:00:00,9,up,0.3000000000000007,0.760880357142856,2.536267857142847,7,8,False
1,2026-06-25 14:00:00,14,down,-0.8100000000000023,-0.790899999999997,0.9764197530864134,8,8,False
1,2026-06-25 14:15:00,14,down,-0.6998125000000002,-0.728550000000002,1.0410645708671993,8,8,False
1,2026-06-25 16:00:00,16,up,0.7143541666666664,0.5564,0.7788853568199717,8,6,False
1,2026-06-26 10:00:00,10,down,-0.8500000000000014,-0.17068749999999966,0.20080882352941104,8,8,False
1,2026-06-26 11:00:00,11,down,-0.7000000000000028,-0.5088249999999981,0.7268928571428515,8,8,False
1,2026-06-26 16:00:00,16,up,0.7806666666666651,-0.32224166666666676,-0.4127775405636218,8,6,False
1,2026-06-29 09:00:00,9,up,0.9899999999999984,0.052850000000001174,0.05338383838383965,8,8,False
1,2026-06-29 14:00:00,14,down,-0.29574999999999463,0.44832500000000053,-1.5158918005072144,8,8,False
1,2026-06-29 16:00:00,16,up,0.3207500000000003,-0.9499249999999986,-2.961574434918153,8,6,False
1,2026-06-30 09:00:00,9,up,1.0199999999999996,2.3645732142857128,2.318209033613445,7,8,False
1,2026-07-01 09:00:00,9,up,1.1000000000000014,2.113037500000001,1.9209431818181801,7,8,False
1,2026-07-06 09:00:00,9,up,1.0899999999999999,2.899987499999998,2.6605389908256867,8,8,False
1,2026-07-07 09:00:00,9,up,0.9699999999999989,2.1569428571428553,2.2236524300441833,7,8,False
1,2026-07-08 09:00:00,9,up,1.0799999999999983,1.7499982142857178,1.6203687169312226,7,8,False
1,2026-07-10 11:15:00,11,down,-0.9949999999999974,-1.177912499999998,1.1838316582914583,8,8,False
