ahu,mask,n,sum_c,sum_c2,sum_p,sum_cp,sum_lnf,sum_lnf2,sum_lnp,sum_lnflnp,a_from_sums,b_from_sums
1,evaluation,1807,663.3693289490137,250.17453145978976,5354.28868,1999.3930112489847,6452.485942244767,23053.741538895592,1951.9569900697477,6981.681849560473,1.096959875424224,5.0832651404774305
1,analysis,1807,663.3693289490137,250.17453145978976,5354.28868,1999.3930112489847,6452.485942244767,23053.741538895592,1951.9569900697477,6981.681849560473,1.096959875424224,5.0832651404774305
1,no_settling,2678,994.5834735834784,394.14748812426626,8065.165423999999,3142.56692167231,9555.53870044892,34130.349508443156,2910.1638383196423,10418.689270180277,0.8038446523662224,5.944668901103557
1,all_usable,2724,1033.504922495066,432.21934576178194,8347.318777,3416.1649959450624,9720.236302269848,34752.39146215141,2981.435904269967,10713.05029539668,0.7071971807630487,6.212755756499176
2,evaluation,1911,715.384666972205,286.3434060711125,5809.87798,2300.9254039005605,6822.563037638053,24384.684174675425,2080.9953703960628,7464.712647045131,0.4960477130362622,6.7962468652918515
2,analysis,1911,715.384666972205,286.3434060711125,5809.87798,2300.9254039005605,6822.563037638053,24384.684174675425,2080.9953703960628,7464.712647045131,0.4960477130362622,6.7962468652918515
2,no_settling,2681,1049.597114842481,460.56756428513575,8562.98809,3693.5675830315336,9580.64432137616,34312.57473718174,3014.4354001561906,10847.740875948379,0.5038528528427236,6.871359009605346
2,all_usable,2720,1086.8421672702289,497.3935884775797,8833.541393,3960.1215833819356,9730.165855124731,34892.99187405511,3088.48837413979,11137.143907174916,0.5225844053233489,6.819860356667196
