bin,n,f_mean,p_mean,p_median,p_sd,pred_offset_cubic_shipped,resid_offset_cubic_shipped,pred_offset_cubic_all,resid_offset_cubic_all,pred_ideal_cubic_all,resid_ideal_cubic_all,pred_power_law_shipped,resid_power_law_shipped
f == 0 (fan off),5909,0.0,0.00043455948553054665,0.0,0.01297544066103577,1.0969598754242245,-1.0965253159386938,0.7071971807630413,-0.7067626212775108,0.0,0.00043455948553054665,1.228229729133155e-09,0.0004345582573008175
"(0.0, 10.0]",6,4.479776666666667,0.3755555,0.4266665,0.14994325939201134,1.10061583882929,-0.72506033882929,0.7116654913985627,-0.33610999139856274,0.00568451888706981,0.36987098111293015,0.4671218564756267,-0.09156635647562672
"(10.0, 20.0]",35,16.22433428571429,2.380245428571428,2.46667,0.5627619774320164,1.2706333158648726,1.1096121127065555,0.9194604873249563,1.4607849412464717,0.27003824792102665,2.1102071806504012,1.4666020226847105,0.9136434058867176
"(25.0, 30.0]",40,28.458170000000003,2.13241,2.0566649999999997,0.24897572087377393,2.0342060100753114,0.0982039899246887,1.8526973971383902,0.2797126028616099,1.4572884802062007,0.6751215197937994,2.416954964499142,-0.2845449644991418
"(30.0, 32.0]",27,30.600885185185188,2.4195074074074077,2.28,0.34467801547344473,2.2622517497071373,0.1572556577002704,2.131414411201063,0.28809299620634476,1.8118681546790962,0.6076392527283114,2.57808171711105,-0.1585743097036425
"(32.0, 34.0]",187,33.622462032085565,2.5962526203208554,2.6,0.06842387565189534,2.6426459182300266,-0.04639329790917124,2.5963313484291968,-7.87281083414193e-05,2.403328625126799,0.19292399519405645,2.8031967227107772,-0.2069441023899219
"(34.0, 36.0]",1377,35.100313435003635,2.806293703703704,2.80667,0.10324769266704764,2.8555544689201575,-0.04926076521645362,2.8565477226204856,-0.05025401891678172,2.734372058422611,0.07192164528109268,2.9124720780096256,-0.1061783743059217
"(36.0, 38.0]",768,36.748651432291666,3.13078823828125,3.11333,0.1472206445441024,3.115126264139774,0.015661974141476076,3.173795814232729,-0.04300757595147875,3.137970401456388,-0.007182163175137646,3.03375346820908,0.09703477007217032
"(38.0, 40.0]",133,38.76980225563909,3.595815037593985,3.59333,0.14806306945794817,3.4667697653038445,0.1290452722901403,3.603573747454489,-0.007758709860504087,3.684727549274923,-0.08891251168093817,3.181646431696153,0.414168605897832
"(40.0, 42.0]",31,40.9302806451613,4.178943548387098,4.12727,0.16536777294963662,3.885435916036152,0.2935076323509458,4.115266619286315,0.06367692910078304,4.335695673823759,-0.15675212543666106,3.338791695031561,0.840151853355537
"(42.0, 45.0]",35,43.69291142857143,5.099455428571429,5.11333,0.5379646403443635,4.489036882526963,0.6104185460444658,4.852986426449876,0.24646900212155298,5.274211931813821,-0.1747565032423921,3.5384044396101264,1.5610509889613025
"(45.0, 50.1]",85,48.434917647058825,6.713542670588236,6.89333,0.7784969954427354,5.717667047001653,0.9958756235865831,6.354615579367083,0.35892709122115285,7.184562392516827,-0.47101972192859076,3.877831397005073,2.835711273583163
