ahu,mask,kind,hz_ref,measured_d_ln_hz,measured_d_ln_kw,measured_d_lnP_d_lnf,model_d_lnP_d_lnf,gap
1,evaluation,power_law,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,0.8890190313063396,2.0734110815267184
1,evaluation,offset_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,1.888575352226313,1.073854760606745
1,evaluation,ideal_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,3.0,-0.037569887166942095
1,analysis,power_law,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,0.8890190313063396,2.0734110815267184
1,analysis,offset_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,1.888575352226313,1.073854760606745
1,analysis,ideal_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,3.0,-0.037569887166942095
1,no_settling,power_law,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,1.0033480914521051,1.9590820213809528
1,no_settling,offset_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,2.1917670160029488,0.7706630968301091
1,no_settling,ideal_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,3.0000000000000004,-0.03756988716694254
1,all_usable,power_law,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,1.1072039389792363,1.8552261738538216
1,all_usable,offset_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,2.289337012847624,0.6730930999854339
1,all_usable,ideal_cubic,35.788,-0.0665179577658659,-0.1970548011297587,2.962430112833058,3.0,-0.037569887166942095
2,evaluation,power_law,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,1.3009504694861997,3.4334132538092925
2,evaluation,offset_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,2.4912699448795106,2.2430937784159815
2,evaluation,ideal_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,3.0,1.734363723295492
2,analysis,power_law,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,1.3009504694861997,3.4334132538092925
2,analysis,offset_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,2.4912699448795106,2.2430937784159815
2,analysis,ideal_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,3.0,1.734363723295492
2,no_settling,power_law,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,0.9965200105555688,3.7378437127399233
2,no_settling,offset_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,2.489314865712612,2.24504885758288
2,no_settling,ideal_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,2.9999999999999996,1.7343637232954925
2,all_usable,power_law,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,1.0374423950455014,3.6969213282499904
2,all_usable,offset_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,2.470387380430122,2.26397634286537
2,all_usable,ideal_cubic,35.484,-0.0702904193050657,-0.3327804112531322,4.734363723295492,3.0000000000000004,1.7343637232954916
