policy,date,day_index,t,hour,scored,T_oa,T_wb,occ,fan_kwh,coil_kwh_th,elec_cop3_kwh,elec_cop4_kwh,elec_cop5_kwh,P_fan_kw,P_fan_ahu1,P_fan_ahu2,air_m3h,T_zone_mean,T_zone_p95,T_zone_max,T_sp_mean,comfort_excess_sum_k,comfort_excess_max_k,n_zones_over,track_dev_sum_k,track_abs_mean_k,track_signed_mean_k,track_rmse_k,n_too_cold,n_too_warm,n_in_band,cost_comfort,cost_comfort_one_sided,cost_comfort_two_sided,cost_vent,T_sa_ahu1,T_sa_ahu2
as_operated,2026-08-04,67,0,0.0,False,29.14816666666667,25.330555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.85065385166416,25.58560536509222,28.84851670546883,22.69045283018868,116.9127,7.424600000000002,40,118.88470000000001,2.4218901510625113,2.160201021475481,2.79307020807034,4,40,9,0.0,0.0,0.0,0.0,15.593114464385286,16.705546874436124
as_operated,2026-08-04,67,1,0.25,False,29.11111111111111,25.32222222222222,0.02628205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56570386549551,25.430442762213932,28.394121704898804,23.36768113207547,77.85909216756299,6.881816705468829,39,91.50142707214097,2.031491329855538,1.1980227334200428,2.338966447073571,11,38,4,0.0,0.0,0.0,0.0,16.418473031164027,15.765560644210632
as_operated,2026-08-04,67,2,0.5,False,29.11111111111111,25.32222222222222,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3455352458417,25.357168272423575,28.013955640795828,24.05849056603774,39.49757003945086,4.894121704898804,36,63.40618520969592,1.5540069570055521,0.287044679803963,1.8215658187299923,14,33,6,0.0,0.0,0.0,0.0,19.1882757141422,18.661575984047648
as_operated,2026-08-04,67,3,0.75,False,29.11111111111111,25.32222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17806521279262,25.30113837666792,27.689285721755827,21.95974528301887,117.74873953470956,7.580655640795829,41,126.21237907512116,2.7549534593356264,2.2183199297737564,3.1560818917143063,9,42,2,0.0,0.0,0.0,0.0,17.540339790634878,18.205532447213578
as_operated,2026-08-04,67,4,1.0,False,29.11111111111111,25.32222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04860413037394,25.256138208375887,27.416050051519356,24.05849056603774,26.086507283783593,4.189285721755827,32,53.808823506272475,1.4436030325786775,-0.009886435663802633,1.7794672605972892,16,30,7,0.0,0.0,0.0,0.0,14.639173563164416,18.889044867109387
as_operated,2026-08-04,67,5,1.25,False,29.11111111111111,25.32222222222222,0.026785724999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.947060557296936,25.21846133732217,27.188634241573833,23.971700000000006,26.64707018634509,4.045697686724068,30,56.18894750192945,1.5048671810424228,-0.024639442703060208,1.9035967073472082,17,27,9,0.0,0.0,0.0,0.0,15.486716398043297,16.164720148129025
as_operated,2026-08-04,67,6,1.5,False,29.11111111111111,25.32222222222222,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.86712662744399,25.186851500018566,26.9994416507804,23.54352830188679,36.56506555564063,5.221934241573834,31,61.41241498863824,1.6040088752916661,0.3235983255571976,1.9450195550046652,15,29,9,0.0,0.0,0.0,0.0,18.81914476268563,13.55910899467315
as_operated,2026-08-04,67,7,1.75,False,29.11111111111111,25.32222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.807106984088872,25.164845097134876,26.835491163745093,24.05849056603774,17.210717256067092,3.499441650780401,23,49.514957148296865,1.3825494423322056,-0.25138358194886606,1.7865055971590407,20,22,11,0.0,0.0,0.0,0.0,13.763860539241811,14.149867483694521
as_operated,2026-08-04,67,8,2.0,False,28.90277777777778,24.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75987204875806,25.150561151221737,26.69703197592053,23.94151132075472,22.03203856214673,3.3354911637450932,24,55.287560757256884,1.4897641591833002,-0.18163927199665408,1.8942118972929247,20,24,9,0.0,0.0,0.0,0.0,19.822375825296827,16.58897920052765
as_operated,2026-08-04,67,9,2.25,False,28.77777777777778,24.699999999999996,0.02815935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.721392924777625,25.133446961612194,26.582882226885104,24.05849056603774,15.070431270949026,3.197031975920531,22,49.223081702322716,1.3648846729500046,-0.3370976412601067,1.7969111620447196,20,22,11,0.0,0.0,0.0,0.0,17.985434564350573,15.471368298669718
as_operated,2026-08-04,67,10,2.5,False,28.77777777777778,24.699999999999996,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69019265567029,25.11582601680938,26.488882133699935,24.05849056603774,14.315677539935617,3.082882226885104,22,49.20323200735554,1.3601318525806505,-0.3682979103674532,1.80198331556742,20,20,13,0.0,0.0,0.0,0.0,13.462980146705856,17.419240787325517
as_operated,2026-08-04,67,11,2.75,False,28.77777777777778,24.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.667876905055067,25.11043918313417,26.40504373700667,24.05849056603774,13.750458292191379,2.988882133699935,20,49.232483590675095,1.3577132427177192,-0.390613660982668,1.8049941765475055,20,20,13,0.0,0.0,0.0,0.0,18.2249867160576,16.099314599146282
as_operated,2026-08-04,67,12,3.0,False,28.4815,24.008666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.64976250681473,25.10653261218571,26.333801906447544,24.05849056603774,13.350783459537293,2.9050437370066717,20,49.23034044190326,1.3562571403042964,-0.40872805922300687,1.8080626446256796,20,20,13,0.0,0.0,0.0,0.0,17.838787461405857,14.709678713627135
as_operated,2026-08-04,67,13,3.25,False,28.444444444444443,23.922222222222224,0.02815935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.634056942055956,25.09781654460955,26.276424298408884,24.05849056603774,13.03109635018539,2.833801906447544,20,49.238950720189294,1.3571771761717182,-0.4244336239817769,1.8111959073788055,20,19,14,0.0,0.0,0.0,0.0,17.792316686391157,18.571099980888455
as_operated,2026-08-04,67,14,3.5,False,28.444444444444443,23.922222222222224,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.620613797646808,25.08644413019524,26.230202496609245,24.05849056603774,12.764080340317477,2.776424298408884,19,49.26443958681598,1.3581142397468982,-0.43787676839092554,1.8141395656596302,20,19,14,0.0,0.0,0.0,0.0,15.111973644483655,15.41074064465527
as_operated,2026-08-04,67,15,3.75,False,28.49072222222222,23.96388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.612247499285854,25.087105165260216,26.186680362806165,24.05849056603774,12.544291531846575,2.7302024966092446,19,49.298975383036286,1.3585304816528803,-0.44624306675188297,1.8151577315379224,20,19,14,0.0,0.0,0.0,0.0,16.131898989174733,12.403380270156514
as_operated,2026-08-04,67,16,4.0,False,28.354166666666664,23.840944444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.605294598399027,25.087649590248205,26.149737235007443,24.05849056603774,12.391760445852132,2.6866803628061646,19,49.27887110058418,1.3590655710475494,-0.45319596763871123,1.8162518063867288,20,19,14,0.0,0.0,0.0,0.0,17.027425452764646,15.727460258564342
