policy,steps,fan_kwh,coil_kwh_th,elec_cop3_kwh,elec_cop5_kwh,air_m3,comfort_cost,vent_infeasible,comfort_one_sided,comfort_two_sided,track_abs_k,pct_too_cold,pct_in_band,fan_kwh_ahu1,fan_kwh_ahu2,air_ahu1,air_ahu2,fan_saving_pct,air_reduction_pct,elec_cop3_saving_pct,elec_cop5_saving_pct,fan_saving_pct_ahu1,air_reduction_pct_ahu1,fan_saving_pct_ahu2,air_reduction_pct_ahu2,comfort_vs_baseline_pct
as_operated,563,820.7664982956404,3852.471024232725,2104.9235063732153,1591.2607031421853,1891705.8287246835,195337.36265548534,0.0,2000.7853274010586,195337.36265548534,2.0659240399659926,74.76456985823921,18.62327825999531,413.8723278815866,406.89417041404135,1025259.2278910677,866446.6008336167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive_cut_20pct,563,713.882454596057,3841.8648801604368,1994.5040813162025,1482.2554306281443,1885049.1237456503,195388.25142942817,0.0,2127.3786972953108,195388.25142942817,2.06773579909563,74.75786722075136,18.459063641542947,355.38695095845117,358.4955036375989,1019444.2583282472,865604.8654174036,13.022466672498586,0.3518890135006302,5.245769013585942,6.850245990414622,14.131260532080983,0.5671706632459923,11.89465720956229,0.09714798527724718,0.02605173595621026
g36_ignore_top_2,563,700.9518768725945,3836.700785187174,1979.8521386016525,1468.2920339100292,1881473.9285880916,195421.89756682722,14.0,2160.272609744784,195421.89756682722,2.0686030629807015,74.75786722075136,18.398739904152283,334.96120084476644,365.9906760278281,1015925.213190109,865548.7153979831,14.597893758072056,0.5408822017263555,5.94184859415917,7.727751272267068,19.066538572590318,0.9104053342839518,10.05261253671717,0.10362847921265199,0.04327636566434621
sac_b100,563,766.654359301252,3226.8529238739857,1842.2720005925805,1412.0249440760492,1902959.4691236273,175476.43768125627,0.0,2336.9760326024143,175476.43768125627,1.9420167217528246,70.19672241026844,22.091893159958445,426.79809337752874,339.85626592372273,1028485.5985624978,874473.8705611284,6.592878620990834,-0.5948937846499408,12.47795964962088,11.263758271175046,-3.1231287102722973,-0.3146882840612499,16.475513626086897,-0.9264586784446458,-10.167499296720615
sac_b50,563,795.1181168273655,3214.9278705203656,1866.760740334154,1438.1036909314385,1904400.1133320753,175034.60565749987,0.0,2325.032074565901,175034.60565749987,1.939263244116802,70.06266966051142,22.256107778410804,435.3474620869344,359.77065474042985,1029470.912999068,874929.200333009,3.1249303573592453,-0.6710496111305959,11.314556814913239,9.624884967517588,-5.18883065105335,-0.4107922165854216,11.581270782439635,-0.9790100730075151,-10.393688499723043
sac_b25,563,789.6248064328337,3245.4870448913134,1871.4538213966048,1438.7222154110964,1902261.8206870812,176035.95047200506,0.0,2339.6250247290777,176035.95047200506,1.9466419863725717,70.4380173598311,21.88411139783505,416.4926725532594,373.13213387957467,1027606.8481086672,874654.9725784144,3.7942206373522676,-0.5580144545790269,11.091599493744976,9.58601487675015,-0.633128744094847,-0.22897820899680518,8.297498216824197,-0.9473603724569208,-9.881065209998763
sac_b50_s1,563,736.6724378327973,3226.493808929315,1812.170374142569,1381.9711996186602,1900727.3096104441,175495.064958207,0.0,2414.2917668722666,175495.064958207,1.9433929801545842,70.12299339790208,22.185730084788364,400.44517762658,336.2272602062178,1026158.426033675,874568.8835767681,10.245795928253447,-0.4768966056335814,13.908017623645629,13.152433357415998,3.244273499446975,-0.08770446713821425,17.367393132203237,-0.9374245031761783,-10.157963344817972
