step,episode,return,cost_comfort,cost_vent,fan_kwh,coil_kwh_th,alpha,lam_comfort,lam_vent,date,lam_dr
96,0,-150.25538994334144,9913.319962321504,0.0,64.61644797893788,336.1886638888078,0.9716001152992249,1.0,1.0,2026-07-21 00:00:00,0.9127555772777217
192,1,-154.28107202406102,17346.914087349614,0.0,57.07777486029953,382.3235243078307,0.9440178275108337,1.0,1.0,2026-06-18 00:00:00,0.07226526552987678
288,2,0.0,0.0,0.0,0.0,0.0,0.9172099232673645,1.0,1.0,2026-07-26 00:00:00,0.5863783547983777
384,3,-133.87020714279188,11877.957658753787,0.0,62.776066257471534,278.4206903369494,0.891177237033844,1.0,1.0,2026-07-08 00:00:00,0.7084994832867091
480,4,-162.96384676241138,10699.6174101205,0.0,65.7002404552461,382.3322516066382,0.8659066557884216,0.951229430384165,0.9512294260954222,2026-07-20 00:00:00,0.8830780014959977
576,5,0.0,0.0,0.0,0.0,0.0,0.8413541913032532,0.9080964426525543,0.9049104829997792,2026-07-28 00:00:00,0.5632039958201955
672,6,-146.03227142292937,13543.95366290951,0.0,63.54028936908695,323.8842815392172,0.8175020217895508,0.8660627325860574,0.8609623145441503,2026-07-01 00:00:00,0.6426983422873438
768,7,-148.26560328234368,15785.753589645023,4.0,63.58822680029913,332.37292902891306,0.7943180799484253,0.8279032276406559,0.8365422078902992,2026-06-18 00:00:00,0.3395567095887363
864,8,-138.38422314944017,18168.972300049227,2.0,63.83830233730962,291.90142924674524,0.7717657685279846,0.7967986299824509,0.830663356629303,2026-06-12 00:00:00,0.6387182191618228
960,9,0.0,0.0,0.0,0.0,0.0,0.7498610615730286,0.7664405135596951,0.8343041507343888,2026-06-27 00:00:00,0.03050959749016091
1056,10,-138.99436130203705,13523.093460055914,1.0,61.09406991606962,304.7174010691135,0.7285866737365723,0.737957550398322,0.8456654526639441,2026-07-23 00:00:00,0.7479296517191851
1152,11,-146.48491292872797,14381.655914851202,0.0,62.854079841611664,328.0359778578341,0.7079309821128845,0.712227785860743,0.8620927569575576,2026-05-26 00:00:00,0.3588024741195469
