step,energy_kwh,cost_comfort,cost_vent,feasible,violation,kept
5000,82.83231595343838,9389.229044838476,0.0,False,2.799144677255665,True
10000,83.35276925945665,9294.492525062256,0.0,False,2.7608116316849634,True
15000,79.01487179892213,9111.439935883716,0.0,False,2.686743434337299,True
20000,81.91661931613186,9248.705982074776,0.0,False,2.742285115796372,False
25000,80.44444940789474,9074.941812751813,0.0,False,2.6719752729084734,True
30000,81.0309002748098,9223.776154235353,0.0,False,2.732197810194523,False
35000,80.94994925677544,9184.466946679267,0.0,False,2.7162922053849416,False
40000,80.8321873126192,9228.64614605482,0.0,False,2.734168345092633,False
45000,80.07260807898686,9066.54762740453,0.0,False,2.668578750741453,True
50000,80.75721873182025,9014.438853355801,0.0,False,2.6474940833400993,True
55000,81.34962956975127,9033.443112934994,0.0,False,2.6551837382926715,False
60000,79.16145812304312,9074.340898040742,0.0,False,2.6717321260094953,False
