step,energy_kwh,cost_comfort,cost_vent,feasible,violation,kept
5000,86.08114412716988,9478.119153796923,0.0,False,0.9175560507461245,True
10000,82.72566645415392,9189.46280417125,0.0,False,0.8591568345272333,True
15000,82.22771274420593,9248.03118103293,0.0,False,0.8710060362107239,False
20000,82.55446230441802,9220.39674494156,0.0,False,0.8654152033380715,False
25000,82.18813255106758,9289.474156943017,0.0,False,0.8793905297930271,False
30000,82.43185285681764,9157.144817320866,0.0,False,0.8526184538393244,True
35000,81.05439689497055,9096.08820112528,0.0,False,0.8402658465420181,True
40000,81.50246959030196,9223.922037361952,0.0,False,0.8661284192938623,False
45000,80.29307976431645,9029.338312060125,0.0,False,0.8267614105261187,True
50000,80.53713779061643,8933.137267519827,0.0,False,0.8072985939004758,True
55000,78.71593219234164,8972.227690591717,0.0,False,0.8152071331445407,False
60000,78.30074620270048,9007.610523885278,0.0,False,0.8223655751279833,False
