step,episode,return,cost_comfort,cost_vent,fan_kwh,coil_kwh_th,alpha,lam_comfort,lam_vent,date,lam_dr
96,0,-150.25538994334144,9913.319962321504,0.0,64.61644797893788,336.1886638888078,0.9716000556945801,1.0,1.0,2026-07-21 00:00:00,0.9127555772777217
192,1,-154.28107202406102,17346.914087349614,0.0,57.07777486029953,382.3235243078307,0.9440177083015442,1.0,1.0,2026-06-18 00:00:00,0.07226526552987678
288,2,0.0,0.0,0.0,0.0,0.0,0.9172102212905884,1.0,1.0,2026-07-26 00:00:00,0.5863783547983777
384,3,-133.87020714279188,11877.957658753787,0.0,62.776066257471534,278.4206903369494,0.8911786675453186,1.0,1.0,2026-07-08 00:00:00,0.7084994832867091
480,4,-162.96384676241138,10699.6174101205,0.0,65.7002404552461,382.3322516066382,0.8659089207649231,1.0512710957490143,0.9512294260954222,2026-07-20 00:00:00,0.8830780014959977
576,5,0.0,0.0,0.0,0.0,0.0,0.841356635093689,1.1035375074287928,0.9049104829997792,2026-07-28 00:00:00,0.5632039958201955
672,6,-146.03227142292937,13543.95366290951,0.0,63.54028936908695,323.8842815392172,0.8175045251846313,1.1591156171611876,0.8609623145441503,2026-07-01 00:00:00,0.6426983422873438
768,7,-148.26560328234368,15785.753589645023,4.0,63.58822680029913,332.37292902891306,0.7943187952041626,1.2180838477164067,0.8365422078902992,2026-06-18 00:00:00,0.3395567095887363
864,8,-138.38422314944017,18168.972300049227,2.0,63.83830233730962,291.90142924674524,0.7717657089233398,1.2803695175400884,0.830663356629303,2026-06-12 00:00:00,0.6387182191618228
960,9,0.0,0.0,0.0,0.0,0.0,0.749861478805542,1.346229835708533,0.8343041507343888,2026-06-27 00:00:00,0.03050959749016091
1056,10,-138.99436130203705,13523.093460055914,1.0,61.09406991606962,304.7174010691135,0.7285915017127991,1.4160205573483227,0.8456654526639441,2026-07-23 00:00:00,0.7479296517191851
1152,11,-146.48491292872797,14381.655914851202,0.0,62.854079841611664,328.0359778578341,0.7079386115074158,1.4900647443108221,0.8620927569575576,2026-05-26 00:00:00,0.3588024741195469
1248,12,-142.40531008930867,12578.949096813218,0.0,63.37275828936824,309.5468003913409,0.6878685355186462,1.5686612433264655,0.8821111805026658,2026-07-09 00:00:00,0.8297852952045203
1344,13,0.0,0.0,0.0,0.0,0.0,0.6683558225631714,1.6517447574335762,0.9047716108448858,2026-05-30 00:00:00,0.35340365097167625
1440,14,-149.26467892772854,18126.172720770515,0.0,65.67186296155025,327.472961119293,0.6494162678718567,1.740003793210874,0.9293885525987289,2026-05-27 00:00:00,0.8495758596148045
1536,15,-135.6829992564255,17762.26940724338,0.0,59.72651199617056,297.749565454245,0.6310259103775024,1.8339670571519038,0.9554163678585755,2026-07-02 00:00:00,0.9658636158421577
1632,16,-101.18162478384077,9526.55308637884,10.0,46.65239289245644,213.4106545145183,0.6131718158721924,1.933991152411338,0.9889791749924877,2026-06-16 00:00:00,0.5521587316062065
1728,17,-158.85597044818383,10474.307382306259,0.0,63.01039650583444,376.51798681398066,0.5958488583564758,2.040494925860029,1.0285113610259724,2026-07-20 00:00:00,0.49411954449343354
1824,18,0.0,0.0,0.0,0.0,0.0,0.5790266394615173,2.1535399005222744,1.0732424368551285,2026-05-24 00:00:00,0.72592052770485
1920,19,-139.1887522916891,8813.332901765221,0.0,63.31485949400579,296.98605070762164,0.5627040863037109,2.273614787438491,1.1227504596499716,2026-07-13 00:00:00,0.7204619353651508
2016,20,-142.70082365270082,41048.20061258366,5.0,67.2734812994815,295.53788357751415,0.546856164932251,2.4022633412012295,1.1776791044378578,2026-05-21 00:00:00,0.3546429435481566
2112,21,0.0,0.0,0.0,0.0,0.0,0.5314429402351379,2.5396216489213255,1.238030781868709,2026-06-28 00:00:00,0.7521927947507213
2208,22,-142.0068070856031,11264.65622068133,0.0,62.823820210154814,310.96234237354093,0.5164426565170288,2.6867638018923854,1.3039069745653518,2026-07-10 00:00:00,0.5480204245325432
2304,23,-155.90581976361773,17634.423620703983,0.0,60.69932980883087,373.8689261462982,0.5019149780273438,2.844566357863608,1.3754930899773665,2026-05-29 00:00:00,0.08403801035747649
2400,24,0.0,0.0,0.0,0.0,0.0,0.4877909719944,3.0134147362789157,1.4530470456462965,2026-06-27 00:00:00,0.835080722022197
2496,25,-112.13553321563242,31482.31863103226,31.0,46.94188537994927,254.29923454860258,0.4740513563156128,3.195017298107978,1.529391907956158,2026-05-22 00:00:00,0.22921580260727947
2592,26,-120.0056123768915,5399.705572833018,0.0,29.257329021762622,357.87757196294604,0.46073439717292786,3.390227987582026,1.611995160491804,2026-07-19 00:00:00,0.38880252777883706
2688,27,-131.7526299943119,12202.128496834259,4.0,59.77288357282502,281.2507529278324,0.44778797030448914,3.5999765304626417,1.7023260650309588,2026-07-01 00:00:00,0.5376949929361501
