ahu,box,n,G,A,r2,identified,mean_err_K,K_difference_form,r2_difference_form
1,vav_8_1_1,86,0.43705030240565146,208.09108301438255,0.020500889372763287,True,-2.9867813953488365,-6.576020488837759,0.27610615222837076
1,vav_8_1_10,9,,,,False,,,
1,vav_8_1_11,58,1.864928772835289,162.83973856599843,0.130175806472822,True,-3.6228603448275862,-7.114645006371731,0.30047590639772126
1,vav_8_1_12,283,19.92030863519393,147.88958423230793,0.051175017688838254,True,0.16850954063604243,-31.878766709000065,0.06925625679463954
1,vav_8_1_13,242,18.44818848034885,232.6669450339962,0.14693038592373675,True,-0.03628471074380168,-59.79687111984415,0.23872615995136393
1,vav_8_1_14,57,0.6256129977258625,209.0514587304455,0.1519021147535382,True,-4.64420701754386,-2.2006378679567287,0.14111690047770065
1,vav_8_1_15,79,3.573339884582255,314.99814177647966,0.31128003288694484,True,-0.5056050632911391,-77.23874062219026,0.5700472499877611
1,vav_8_1_16,252,12.874463933446556,756.0811795921283,0.04970888407298113,True,0.31845515873015884,7.219373710087475,0.025449263763391072
1,vav_8_1_17,306,32.62861471920628,366.57415869801184,0.07865685684969426,True,0.34238496732026147,-68.35839426576963,0.0910057681466111
1,vav_8_1_18,739,15.459470917143449,134.27183781250872,0.04975202189682948,True,0.15925493910690128,-13.891120460934603,0.020325316795588688
1,vav_8_1_19,1375,26.810511657493183,235.06675845933887,0.038697669486096875,True,0.21311047272727277,-20.214589257078835,0.03598814969284314
1,vav_8_1_2,12,,,,False,,,
1,vav_8_1_20,1878,142.47115033737717,404.70798294302335,0.18469969448187484,True,0.46981586794462193,-41.550746781331554,0.051420909657923675
1,vav_8_1_21,1585,25.939847168483755,256.07533531165797,0.04942553957936069,True,0.1919723028391168,-17.264149689967486,0.025961397929434082
1,vav_8_1_22,1445,15.428366054023023,413.0282212383447,0.015911241101059237,True,0.3027038062283738,-16.841341275705652,0.03483288616297475
1,vav_8_1_25,49,10.295848495206176,314.86596868212393,0.23428546429742847,True,0.3645367346938778,-95.71736640970869,0.5010607390894073
1,vav_8_1_26,129,5.267214007082458,116.60170908579651,0.03071564572841412,True,-0.3184589147286821,-0.4259622770800703,0.00024695148519593424
1,vav_8_1_27,2138,67.0404387357885,606.7998504785556,0.2044178158371469,True,0.18592927970065487,-6.829636604923044,0.009586406007967452
1,vav_8_1_28,0,,,,False,,,
1,vav_8_1_3,253,0.5090129010511932,159.41431735020993,0.017901635111930436,True,-4.79867233201581,-1.623689403906926,0.0696400701996368
1,vav_8_1_4,128,1.2895001606699363,212.204583740589,0.03161905363275397,True,-3.7390015625,-4.218394172243972,0.1853029254692844
1,vav_8_1_5,6,,,,False,,,
1,vav_8_1_6,32,,,,False,,,
1,vav_8_1_7,122,5.443327990545052,559.372762368973,0.010341808534587993,True,0.48021639344262285,-75.77178586482898,0.18041136577099315
1,vav_8_1_8,18,,,,False,,,
1,vav_8_1_9,20,,,,False,,,
2,vav_8_2_1,506,12.15643478275049,369.9396006972357,0.010294438177977927,True,0.22623992094861664,-17.095717731796288,0.052835164447413985
2,vav_8_2_10,1539,70.56024728346034,271.8478990736535,0.11030384702449891,True,0.39136543209876545,-19.42173426174039,0.028416846076255275
2,vav_8_2_11,433,10.345530322020126,168.9896621929567,0.09316429512565849,True,-0.20604087759815234,-56.90679563323359,0.1942554973135281
2,vav_8_2_12,96,21.297864053301858,166.2125455930365,0.5716429693981544,True,0.09937500000000017,10.093794879143376,0.05454968457194953
2,vav_8_2_13,109,25.438810557966804,176.65188538374306,0.18850784605516424,True,0.31286605504587156,-142.4224328761464,0.28481480060777586
2,vav_8_2_14,2056,53.79761187855777,298.0315002853048,0.07436467226001287,True,0.4286102140077822,-23.849230719021026,0.038091489881735496
2,vav_8_2_15,39,,,,False,,,
2,vav_8_2_16,1559,96.90181111677835,381.25285069935904,0.11935742063722321,True,0.6302107761385505,-9.052655992152518,0.002933137418809295
2,vav_8_2_17,1840,77.84265487472481,290.57987842047675,0.09287862723735585,True,0.3454863586956522,-20.674265678054457,0.023915435988389633
2,vav_8_2_18,1689,54.71529658210436,364.625460602821,0.0636112393227598,True,0.6128602131438721,-3.4627387106439795,0.0008102662683813211
2,vav_8_2_19,207,-0.17614369447040135,156.8255976476085,0.0014974503342308765,True,-3.181863285024155,-1.9536541280758526,0.02516676699798759
2,vav_8_2_2,720,38.06341706117331,409.94455941010096,0.03344716049578933,True,0.2933013888888889,-41.31052746881363,0.07133309308560765
2,vav_8_2_20,14,,,,False,,,
2,vav_8_2_21,123,0.04666395289438796,309.62331470372163,0.0030572791707027536,True,-8.554105203252032,0.07285258432281738,0.003855072135468207
2,vav_8_2_22,2,,,,False,,,
2,vav_8_2_23,175,12.514473857881692,205.9151641807519,0.3257068760438703,True,-1.7334628571428572,14.672858522472788,0.27788823928019313
2,vav_8_2_25,467,32.37602799193537,226.14746931216052,0.03083274445662021,True,0.21107494646680935,-95.10225604338166,0.2502108557145767
2,vav_8_2_26,315,3.684975662405465,165.72408294405912,0.07175109519746514,True,-1.3902485714285713,0.15590077778363437,8.640820307093122e-05
2,vav_8_2_27,209,67.79097878540567,243.90692541500155,0.0938521347122876,True,0.2975822966507178,-116.60611961275973,0.21128098194536427
2,vav_8_2_28,0,,,,False,,,
2,vav_8_2_3,1939,74.94960699821532,261.38360984952203,0.2073267653633647,True,0.5403172769468798,0.4365125821333353,2.1846512941348095e-05
2,vav_8_2_4,941,31.97032346621111,231.5543264398083,0.04608026711153779,True,0.2601475026567482,-49.347380300709546,0.0831040791559634
2,vav_8_2_5,520,46.75602045502211,209.2509302812804,0.11727603934250952,True,0.27385923076923074,-38.94940158112729,0.033108993297767175
