ahu,origin,n_train,n_test,boxes,p,params_share,params_v1,r2_share,r2_v1,median_abs_pct_share,median_abs_pct_v1,r2_share_p_free,r2_cost_of_linear_oos
1,back21,48277,13386,23,1.0,23,46,0.9447082441442557,0.9351621390160803,5.3617458068059705,3.590924851474,0.9445542241547537,-0.0001540199895020411
1,back42,36869,11408,23,1.0,23,46,0.9342839083541752,0.909170019686943,5.621340113509414,3.248796778329038,0.9310384093643447,-0.0032454989898305087
1,back63,21896,14973,23,1.0,23,46,0.9594002809973325,0.9490176567847086,5.2309355645534055,3.546719906126653,0.9590153359262298,-0.0003849450711027602
2,back21,50256,14016,25,1.0,25,50,0.9025766767742491,0.8528706269874624,9.16208946677077,5.748183550202457,0.9043835712498994,0.0018068944756503003
2,back42,38337,11919,25,1.0,25,50,0.9014398477242547,0.8687579244500307,10.037131788645226,6.4867850235495546,0.9032074062330728,0.0017675585088181567
2,back63,22713,15624,25,1.0,25,50,0.9050656645522334,0.8135563074424799,7.704731310309368,5.588347450715794,0.9041639030623427,-0.000901761489890629
