ahu,boxes,obs,timesteps,p_free,within_r2_free,p_imposed,within_r2_imposed,r2_cost_of_linear,size_exponent_logged_maxflow,within_r2_logged_maxflow
1,23,61663,2681,0.8987597044697583,0.95147580547105,1.0,0.9186788370481312,0.03279696842291879,0.6648530651389611,0.45986495416019413
2,25,64272,2681,1.0909032823266978,0.8876133034739949,1.0,0.7867165336373785,0.10089676983661644,0.12670797422814037,0.012890919897519226
