ahu,box,a,a_x_mean_damper,max_flow_setpoint,mean_damper,mean_flow
1,vav_8_1_1,0.03654279754241421,1.543206877738458,500.0,42.23012417008579,198.4608071615069
1,vav_8_1_10,0.05266855310691631,2.3085585665530552,900.0,43.83182051473331,296.91447295785156
1,vav_8_1_11,0.027351481068835313,1.1613114888074088,300.0,42.45881551659828,149.23258373741143
1,vav_8_1_12,0.01855804108734634,0.8352868565880246,200.0,45.009430287206264,113.13294845207014
1,vav_8_1_13,0.03629840764158301,1.6312191613145184,700.0,44.93913830660202,211.3639544945916
1,vav_8_1_14,0.036128606498482964,1.5431047637344097,600.0,42.711438754196195,198.43555490488626
1,vav_8_1_15,0.05290778995511789,2.3631536046503214,700.0,44.66551346512496,303.4429709063782
1,vav_8_1_17,0.05402088508812351,2.540579952405983,1000.0,47.02958769116002,326.9449298769116
1,vav_8_1_18,0.020265320320766302,0.8595296942852307,200.0,42.41382226781052,115.14416202909364
1,vav_8_1_19,0.03453351537988074,1.52328647480725,900.0,44.11037967176427,202.430027228646
1,vav_8_1_2,0.05534449525282371,2.316990118173284,900.0,41.864870346885496,297.5239291309213
1,vav_8_1_20,0.05000040536297459,3.0493019387378375,900.0,60.98554434912346,417.3795240581872
1,vav_8_1_21,0.04117756639593534,1.86328461370481,900.0,45.249993547183884,241.9503461395002
1,vav_8_1_22,0.04647119651599422,3.131567540571763,900.0,67.38728019395748,395.5936367027229
1,vav_8_1_25,0.05434142962321532,2.373623647200071,800.0,43.679816001491986,303.7767385303991
1,vav_8_1_27,0.06700046193374881,4.752860485352301,1000.0,70.93772711674748,624.1678250652741
1,vav_8_1_3,0.028091648720509912,1.1610909456673204,500.0,41.33224636329728,149.36076076091013
1,vav_8_1_4,0.038133056257421714,1.549832610013147,500.0,40.642758858634835,199.06340208877282
1,vav_8_1_5,0.07453989770245043,3.8354855320322416,1000.0,51.45547083177918,494.455286460276
1,vav_8_1_6,0.03783343977465235,1.576672198683017,400.0,41.6740377844088,202.61869227900036
1,vav_8_1_7,0.07150253575912797,3.933493576676577,1000.0,55.0119451697128,505.41045990302126
1,vav_8_1_8,0.028537839301817435,1.1633785428502985,500.1,40.76617471092875,149.4017424095487
1,vav_8_1_9,0.03775062970986165,1.568854898132681,500.0,41.55837691160015,201.54945393509885
2,vav_8_2_1,0.051306401568281805,3.014401916882054,1000.0,58.75293968668407,318.20502648265574
2,vav_8_2_10,0.041380370205570276,2.6085651893400605,500.0,63.038710779559864,287.7304520701231
2,vav_8_2_11,0.03440910566509559,1.515734769364619,700.0,44.05039712793733,163.4426859380828
2,vav_8_2_12,0.03550838353062388,1.440465714017883,300.0,40.56691887355465,152.53776426706455
2,vav_8_2_13,0.03629241866339374,1.5343796792945479,701.0,42.27824255874674,166.34246549794852
2,vav_8_2_14,0.04967766248237112,2.909362842103465,600.0,58.56480954867587,319.2766266318538
2,vav_8_2_16,0.06386346321208557,4.513623699541651,600.0,70.67614990675122,494.2139097351735
2,vav_8_2_17,0.0460602947875473,2.685218315180714,700.0,58.29789686684072,297.02684334203656
2,vav_8_2_18,0.054593814813373526,3.90604124382966,500.0,71.54732192982455,424.63305661881975
2,vav_8_2_19,0.030857765934004102,1.4131428834800883,600.0,45.79537243565834,149.09398877284596
2,vav_8_2_2,0.06611761618306941,3.3050779597839988,1000.0,49.987857254755696,347.55806303618056
2,vav_8_2_20,0.0347716985452081,1.4159084128253705,600.0,40.72013942558746,149.29868108914582
2,vav_8_2_21,0.0432396797997322,2.8377396281685225,700.0,65.62813696381946,296.78825326370753
2,vav_8_2_22,0.03317976285473637,1.4079982128060233,750.0,42.43545136143231,148.55389589705334
2,vav_8_2_25,0.036486911733573206,1.6038953133146403,800.0,43.95809996270049,174.52103058560238
2,vav_8_2_26,0.019231275854058216,1.3921485800865427,600.0,72.38981909735173,147.45067314434914
2,vav_8_2_27,0.03722776515964809,1.5971962459097102,700.0,42.903360947407684,178.14185863483775
2,vav_8_2_28,0.0022276882365882223,0.22276882365882222,1000.0,100.0,28.429806930693072
2,vav_8_2_3,0.049585492414064146,2.7585944249820042,500.0,55.6330953002611,305.8243954867587
2,vav_8_2_4,0.0389520811303772,1.7792824609285012,700.0,45.67875218202163,198.62975606117118
2,vav_8_2_5,0.0372152861534678,1.6166314169610807,700.0,43.43998351361432,179.1704923535994
2,vav_8_2_6,0.03530474254906916,1.4442127798045394,500.0,40.90704748228273,153.3819276389407
2,vav_8_2_7,0.04433786998810234,2.263865728497211,600.0,51.0594155538978,267.17936702722864
2,vav_8_2_8,0.04392502047139391,1.9037068434100224,700.0,43.33991932114882,200.3725897053338
2,vav_8_2_9,0.03424742806456477,1.436753400871507,300.0,41.95215471838866,151.50743938828793
